Pool,Sample_Date,Spp,Amphib_MeHg,Amphib_THg,Life_Stage,Habitat,Water_MeHg,Season_MeHg,Tissue_MeHg,Blood_MeHg,S-V,Tot_Length,Mass,Water_THg
Downer,4/28/15,SPSA,NA,NA,Adult,Deciduous,0.000157257,NA,83.73224588,57.34273128,85,175,16.5,NA
Downer,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.000157257,NA,143.5143836,64.74771224,55,NA,12.0,NA
Downer,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.000157257,NA,48.22942122,65.33353697,50,NA,14.4,NA
Downer,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.000157257,NA,35.89202948,55.94784677,44,NA,13.2,NA
Downer,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.000157257,NA,28.88995075,42.74546918,47,NA,12.4,NA
Downer,4/29/15,SPSA,NA,NA,Adult,Deciduous,0.000157257,NA,212.0290297,NA,101,196,23.7,NA
Downer,5/12/15,SPSA,3.872744495,NA,Eggs,Deciduous,0.001824597,NA,NA,NA,NA,NA,NA,NA
Downer,5/12/15,SPSA,3.206494126,NA,Eggs,Deciduous,0.001824597,NA,NA,NA,NA,NA,NA,NA
Downer,5/12/15,SPSA,6.408850662,NA,Eggs,Deciduous,0.001824597,NA,NA,NA,NA,NA,NA,NA
Downer,5/12/15,SPSA,3.258187379,NA,Eggs,Deciduous,0.001824597,NA,NA,NA,NA,NA,NA,NA
Downer,5/12/15,WOFR,71.55240669,149.0728358,Early Larvae,Deciduous,0.001824597,0.00101972,NA,NA,NA,NA,NA,0.006185472
Downer,5/12/15,WOFR,53.17190623,111.1578374,Early Larvae,Deciduous,0.001824597,0.00101972,NA,NA,NA,NA,NA,0.006185472
Downer,5/12/15,WOFR,66.98692031,125.5937362,Early Larvae,Deciduous,0.001824597,0.00101972,NA,NA,NA,NA,NA,0.006185472
Downer,5/12/15,WOFR,53.58880224,109.711478,Early Larvae,Deciduous,0.001824597,0.00101972,NA,NA,NA,NA,NA,0.006185472
Downer,5/12/15,SPSA,NA,NA,Adult,Deciduous,0.001824597,NA,73.86238076,NA,95,175,21.7,NA
Downer,5/12/15,SPSA,NA,NA,Adult,Deciduous,0.001824597,NA,85.38656772,NA,90,155,15.7,NA
Downer,6/1/15,SPSA,279.4031176,304.1748277,Early Larvae,Deciduous,0.001415,0.00101972,NA,NA,NA,NA,NA,0.00633871
Downer,6/1/15,SPSA,281.8494772,300.0649673,Early Larvae,Deciduous,0.001415,0.00101972,NA,NA,NA,NA,NA,0.00633871
Downer,6/1/15,SPSA,299.8476263,313.7852339,Early Larvae,Deciduous,0.001415,0.00101972,NA,NA,NA,NA,NA,0.00633871
Downer,6/1/15,SPSA,314.6626808,337.1889111,Early Larvae,Deciduous,0.001415,0.00101972,NA,NA,NA,NA,NA,0.00633871
Downer,7/7/15,SPSA,95.66657862,139.9028748,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,SPSA,154.8226291,165.4436549,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,SPSA,105.0681267,157.6640325,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,SPSA,123.4431051,176.0328949,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,WOFR,43.16601637,183.3846387,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,WOFR,47.71076436,213.4499242,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,WOFR,84.51936905,292.7466498,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,7/7/15,WOFR,51.07405066,201.4875391,Late Larvae,Deciduous,0.0013066,0.00101972,NA,NA,NA,NA,NA,0.003324246
Downer,NA,WOFR,NA,NA,Eggs,Deciduous,NA,NA,NA,NA,NA,NA,NA,NA
Downer,NA,WOFR,NA,NA,Eggs,Deciduous,NA,NA,NA,NA,NA,NA,NA,NA
Downer,NA,WOFR,NA,NA,Eggs,Deciduous,NA,NA,NA,NA,NA,NA,NA,NA
Downer,NA,WOFR,NA,NA,Eggs,Deciduous,NA,NA,NA,NA,NA,NA,NA,NA
Mauran,4/20/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,13.3,NA,50,NA,12.0,NA
Mauran,4/20/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,28.39,NA,50,NA,12.9,NA
Mauran,4/20/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,37.03,NA,45,NA,10.8,NA
Mauran,4/20/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,18.57,NA,45,NA,9.7,NA
Mauran,4/21/15,SPSA,NA,NA,Adult,Deciduous,0.00006000,NA,115.5511358,NA,80,154,11.4,NA
Mauran,4/21/15,SPSA,NA,NA,Adult,Deciduous,0.00006000,NA,94.86137925,147.79,78,163,14.8,NA
Mauran,4/21/15,SPSA,NA,NA,Adult,Deciduous,0.00006000,NA,82.29734885,62.13,80,165,12.0,NA
Mauran,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,NA,24.19240972,52,NA,13.8,NA
Mauran,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,NA,121.0811252,63,NA,NA,NA
Mauran,4/28/15,WOFR,NA,NA,Adult,Deciduous,0.00006000,NA,NA,82.41481258,48,NA,13.5,NA
Mauran,5/9/15,WOFR,5.933289968,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,WOFR,4.002743901,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,WOFR,6.078454062,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,WOFR,8.984493785,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,SPSA,2.288506027,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,SPSA,5.278620074,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,SPSA,9.544073071,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/9/15,SPSA,1.351696669,NA,Eggs,Deciduous,0.000383099,NA,NA,NA,NA,NA,NA,NA
Mauran,5/12/15,WOFR,30.18883579,98.03264572,Early Larvae,Deciduous,0.000383099,0.000431829,NA,NA,NA,NA,NA,0.004238986
Mauran,5/12/15,WOFR,27.60139497,105.0525329,Early Larvae,Deciduous,0.000383099,0.000431829,NA,NA,NA,NA,NA,0.004238986
Mauran,5/12/15,WOFR,33.70559582,98.27919442,Early Larvae,Deciduous,0.000383099,0.000431829,NA,NA,NA,NA,NA,0.004238986
Mauran,5/12/15,WOFR,29.23996284,105.4521336,Early Larvae,Deciduous,0.000383099,0.000431829,NA,NA,NA,NA,NA,0.004238986
Mauran,6/1/15,SPSA,346.2685496,380.7257509,Early Larvae,Deciduous,0.000606404,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,6/1/15,SPSA,364.5907059,426.8633836,Early Larvae,Deciduous,0.000606404,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,6/1/15,SPSA,305.6019676,337.3572587,Early Larvae,Deciduous,0.000606404,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,6/1/15,SPSA,376.4852031,404.0786211,Early Larvae,Deciduous,0.000606404,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,SPSA,270.0741058,280.0864757,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,SPSA,250.151135,261.1047006,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,SPSA,299.350128,319.7352699,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,SPSA,286.5767533,309.7120277,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,WOFR,47.72549723,163.0117334,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,WOFR,37.16248155,107.2643038,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,WOFR,46.74213131,175.1337888,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Mauran,7/6/15,WOFR,32.2160053,106.368917,Late Larvae,Deciduous,0.000555771,0.000431829,NA,NA,NA,NA,NA,0.005379723
Podunk Conif,4/30/15,SPSA,NA,NA,Adult,Coniferous,0.00067168,NA,32.24398153,NA,95,190,22.0,NA
Podunk Conif,4/30/15,SPSA,NA,NA,Adult,Coniferous,0.00067168,NA,43.07057526,NA,85,160,14.6,NA
Podunk Conif,4/30/15,SPSA,NA,NA,Adult,Coniferous,0.00067168,NA,46.58724987,63.71691556,85,165,17.3,NA
Podunk Conif,4/30/15,SPSA,NA,NA,Adult,Coniferous,0.00067168,NA,55.9231087,NA,88,188,19.4,NA
Podunk Conif,4/30/15,WOFR,NA,NA,Adult,Coniferous,0.00067168,NA,26.15726207,NA,45,NA,11.4,NA
Podunk Conif,4/30/15,WOFR,NA,NA,Adult,Coniferous,0.00067168,NA,199.4342262,58.57922503,49,NA,13.6,NA
Podunk Conif,4/30/15,WOFR,NA,NA,Adult,Coniferous,0.00067168,NA,42.83733494,56.4428597,50,NA,13.8,NA
Podunk Conif,4/30/15,WOFR,NA,NA,Adult,Coniferous,0.00067168,NA,32.55507661,56.87199926,45,NA,11.9,NA
Podunk Conif,5/11/15,WOFR,6.976676486,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,WOFR,5.023903952,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,WOFR,0.988384455,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,WOFR,0.831747409,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,SPSA,3.071522166,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,SPSA,2.613138723,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,SPSA,1.543678017,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/11/15,SPSA,1.619084156,NA,Eggs,Coniferous,0.002765307,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,5/18/15,WOFR,40.96911167,68.3853354,Early Larvae,Coniferous,0.001696274,0.001263435,NA,NA,NA,NA,NA,0.005789284
Podunk Conif,5/18/15,WOFR,57.90900446,102.11872,Early Larvae,Coniferous,0.001696274,0.001263435,NA,NA,NA,NA,NA,0.005789284
Podunk Conif,5/18/15,WOFR,49.7894196,83.99352969,Early Larvae,Coniferous,0.001696274,0.001263435,NA,NA,NA,NA,NA,0.005789284
Podunk Conif,5/18/15,WOFR,57.70496845,97.53386337,Early Larvae,Coniferous,0.001696274,0.001263435,NA,NA,NA,NA,NA,0.005789284
Podunk Conif,7/8/15,SPSA,121.6052487,153.7767794,Late Larvae,Coniferous,0.001546556,0.001263435,NA,NA,NA,NA,NA,0.00595134
Podunk Conif,7/8/15,SPSA,94.6182977,116.9777735,Late Larvae,Coniferous,0.001546556,0.001263435,NA,NA,NA,NA,NA,0.00595134
Podunk Conif,7/8/15,WOFR,107.9703757,369.4755979,Late Larvae,Coniferous,0.001546556,0.001263435,NA,NA,NA,NA,NA,0.00595134
Podunk Conif,7/8/15,WOFR,194.1564788,473.6360108,Late Larvae,Coniferous,0.001546556,0.001263435,NA,NA,NA,NA,NA,0.00595134
Podunk Conif,7/8/15,WOFR,132.3884806,414.663267,Late Larvae,Coniferous,0.001546556,0.001263435,NA,NA,NA,NA,NA,0.00595134
Podunk Conif,7/8/15,WOFR,150.9373276,561.7988687,Late Larvae,Coniferous,0.001546556,0.001263435,NA,NA,NA,NA,NA,0.00595134
Podunk Conif,NA,SPSA,NA,NA,Early Larvae,Coniferous,NA,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,NA,SPSA,NA,NA,Early Larvae,Coniferous,NA,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,NA,SPSA,NA,NA,Early Larvae,Coniferous,NA,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,NA,SPSA,NA,NA,Early Larvae,Coniferous,NA,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,NA,SPSA,NA,NA,Late Larvae,Coniferous,NA,NA,NA,NA,NA,NA,NA,NA
Podunk Conif,NA,SPSA,NA,NA,Late Larvae,Coniferous,NA,NA,NA,NA,NA,NA,NA,NA
Podunk Decid,4/24/15,WOFR,NA,NA,Adult,Deciduous,0.00009662,NA,20.03375894,23.95383512,47,NA,14.2,NA
Podunk Decid,4/30/15,SPSA,NA,NA,Adult,Deciduous,0.00009662,NA,42.26667393,NA,85,175,15.5,NA
Podunk Decid,4/30/15,WOFR,NA,NA,Adult,Deciduous,0.00009662,NA,24.37051149,25.95676007,48,NA,9.8,NA
Podunk Decid,4/30/15,WOFR,NA,NA,Adult,Deciduous,0.00009662,NA,27.37713029,33.31790017,44,NA,9.5,NA
Podunk Decid,4/30/15,WOFR,NA,NA,Adult,Deciduous,0.00009662,NA,20.24029063,37.87017498,49,NA,12.3,NA
Podunk Decid,4/30/15,WOFR,NA,NA,Adult,Deciduous,0.00009662,NA,30.02595035,23.35305418,48,NA,12.8,NA
Podunk Decid,5/12/15,SPSA,3.203580973,NA,Eggs,Deciduous,0.00123072,NA,NA,NA,NA,NA,NA,NA
Podunk Decid,5/12/15,SPSA,3.724671354,NA,Eggs,Deciduous,0.00123072,NA,NA,NA,NA,NA,NA,NA
Podunk Decid,5/12/15,SPSA,4.822518434,NA,Eggs,Deciduous,0.00123072,NA,NA,NA,NA,NA,NA,NA
Podunk Decid,5/12/15,SPSA,2.301635437,NA,Eggs,Deciduous,0.00123072,NA,NA,NA,NA,NA,NA,NA
Podunk Decid,5/12/15,WOFR,33.34622393,61.72354545,Early Larvae,Deciduous,0.00123072,0.000383108,NA,NA,NA,NA,NA,0.006135018
Podunk Decid,5/12/15,WOFR,34.27936474,68.4853135,Early Larvae,Deciduous,0.00123072,0.000383108,NA,NA,NA,NA,NA,0.006135018
Podunk Decid,5/12/15,WOFR,33.4577915,64.13436019,Early Larvae,Deciduous,0.00123072,0.000383108,NA,NA,NA,NA,NA,0.006135018
Podunk Decid,5/12/15,WOFR,30.2552737,60.96408205,Early Larvae,Deciduous,0.00123072,0.000383108,NA,NA,NA,NA,NA,0.006135018
Podunk Decid,5/12/15,SPSA,NA,NA,Adult,Deciduous,0.00123072,NA,116.6967387,NA,75,155,10.3,NA
Podunk Decid,5/12/15,SPSA,NA,NA,Adult,Deciduous,0.00123072,NA,33.75814264,NA,80,145,11.6,NA
Podunk Decid,7/8/15,SPSA,234.8265209,259.013052,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,SPSA,350.6174529,384.9794322,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,SPSA,382.8120092,417.7085713,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,SPSA,314.2932695,344.013624,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,WOFR,81.62923201,351.9554486,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,WOFR,75.20405901,274.0596848,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,WOFR,88.38595985,286.1921267,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,7/8/15,WOFR,71.38872196,264.7505386,Late Larvae,Deciduous,0.000483445,0.000383108,NA,NA,NA,NA,NA,0.002258166
Podunk Decid,4/19/16,SPSA,NA,NA,Adult,Deciduous,0.00009662,NA,93.04870077,33.82814957,80,185,18.3,NA
